bib,name,team,link,image,country,birth,age,sprint,stages_victory,victories,podiums,stage_1,stage_2,stage_3,stage_4,stage_5,stage_6,stage_7,stage_8,stage_9,stage_10,stage_11,stage_12,stage_13,stage_14,stage_15,stage_16,stage_17,stage_18,stage_19,stage_20,stage_21
1,JONAS VINGEGAARD,JUMBO-VISMA,https://www.letour.fr/en/rider/1/jumbo-visma/jonas-vingegaard,"https://img.aso.fr/core_app/img-cycling-tdf-png/1/46724/0:0,660:1000-300-0-70/aa3b1",DEN,1996-10-12,26,1,1,26,57,9,16,43,25,5,2,22,18,14,21,18,16,4,3,17,1,-,-,-,-,-
2,TIESJ BENOOT,JUMBO-VISMA,https://www.letour.fr/en/rider/2/jumbo-visma/tiesj-benoot,"https://img.aso.fr/core_app/img-cycling-tdf-png/2/46727/0:0,660:1000-300-0-70/2e4a7",BEL,1994-03-11,29,0,0,7,42,55,12,86,85,23,58,145,138,104,46,61,4,63,26,31,85,-,-,-,-,-
3,WILCO KELDERMAN,JUMBO-VISMA,https://www.letour.fr/en/rider/3/jumbo-visma/wilco-kelderman,"https://img.aso.fr/core_app/img-cycling-tdf-png/3/46725/0:0,660:1000-300-0-70/122df",NED,1991-03-25,32,0,0,17,62,14,21,75,88,32,26,63,109,38,43,104,31,43,16,37,59,-,-,-,-,-
4,SEPP KUSS,JUMBO-VISMA,https://www.letour.fr/en/rider/4/jumbo-visma/sepp-kuss,"https://img.aso.fr/core_app/img-cycling-tdf-png/4/46730/0:0,660:1000-300-0-70/80a18",USA,1994-09-13,28,0,0,8,15,31,30,95,62,12,14,50,33,20,30,46,22,12,5,20,14,-,-,-,-,-
5,CHRISTOPHE LAPORTE,JUMBO-VISMA,https://www.letour.fr/en/rider/5/jumbo-visma/christophe-laporte,"https://img.aso.fr/core_app/img-cycling-tdf-png/5/46726/0:0,660:1000-300-0-70/cb4ea",FRA,1992-12-11,30,0,0,30,64,152,124,37,18,94,110,23,42,136,87,41,60,135,64,122,55,-,-,-,-,-
6,WOUT VAN AERT,JUMBO-VISMA,https://www.letour.fr/en/rider/6/jumbo-visma/wout-van-aert,"https://img.aso.fr/core_app/img-cycling-tdf-png/6/46728/0:0,660:1000-300-0-70/f2084",BEL,1994-09-15,28,0,0,41,95,11,2,5,9,42,25,148,3,55,34,9,62,131,17,2,3,-,-,-,-,-
7,DYLAN VAN BAARLE,JUMBO-VISMA,https://www.letour.fr/en/rider/7/jumbo-visma/dylan-van-baarle,"https://img.aso.fr/core_app/img-cycling-tdf-png/7/46729/0:0,660:1000-300-0-70/79876",NED,1992-05-21,31,0,0,25,52,73,43,150,126,61,60,146,168,73,56,147,28,39,27,51,23,-,-,-,-,-
8,NATHAN VAN HOOYDONCK,JUMBO-VISMA,https://www.letour.fr/en/rider/8/jumbo-visma/nathan-van-hooydonck,"https://img.aso.fr/core_app/img-cycling-tdf-png/8/46732/0:0,660:1000-300-0-70/f7628",BEL,1995-10-12,27,0,0,4,28,79,92,71,114,85,89,133,139,121,95,56,88,132,65,151,74,-,-,-,-,-
11,TADEJ POGAČAR,UAE TEAM EMIRATES,https://www.letour.fr/en/rider/11/uae-team-emirates/tadej-pogacar,"https://img.aso.fr/core_app/img-cycling-tdf-png/11/46731/0:0,660:1000-300-0-70/8fe63",SLO,1998-09-21,24,1,1,68,114,3,3,58,24,8,1,25,10,13,27,20,12,3,2,16,2,-,-,-,-,-
12,MIKKEL BJERG,UAE TEAM EMIRATES,https://www.letour.fr/en/rider/12/uae-team-emirates/mikkel-bjerg,"https://img.aso.fr/core_app/img-cycling-tdf-png/12/46735/0:0,660:1000-300-0-70/e26ad",DEN,1998-11-03,24,0,0,11,32,107,169,172,171,101,96,166,156,124,122,169,116,146,126,54,87,-,-,-,-,-
